Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2007,11,2,5,1534,1540,1654,1710,XE,7770,N12569,80,90,55,-16,-6,OAK,LAX,337,12,13,0,,0,0,0,0,0,0
2007,9,11,2,1822,1823,2258,2257,US,596,N650AW,156,154,127,1,-1,PHX,MCI,1044,7,22,0,,0,0,0,0,0,0
2007,9,24,1,711,715,830,844,US,1243,N425US,79,89,66,-14,-4,MHT,PHL,290,3,10,0,,0,0,0,0,0,0
2007,11,5,1,2243,2250,549,556,NW,222,N588NW,306,306,281,-7,-7,HNL,SFO,2398,6,19,0,,0,0,0,0,0,0
2007,7,8,7,1656,1700,1832,1840,XE,2607,N16944,96,100,73,-8,-4,CLE,LGA,418,7,16,0,,0,0,0,0,0,0
2007,1,25,4,2133,2140,2242,2255,MQ,3701,N663AR,69,75,52,-13,-7,DFW,ICT,328,5,12,0,,0,0,0,0,0,0
2007,4,15,7,1456,1450,1625,1608,XE,2350,N12934,89,78,60,17,6,SYR,CLE,317,4,25,0,,0,0,6,11,0,0
2007,2,16,5,1406,1400,1505,1505,WN,1073,N253WN,59,65,41,0,6,LAS,LAX,236,6,12,0,,0,0,0,0,0,0
2007,6,5,2,1120,1125,1300,1305,9E,5929,86839E,160,160,141,-5,-5,PHL,MEM,874,6,13,0,,0,0,0,0,0,0
2007,4,1,7,1922,1930,2017,2025,OO,6186,N292SW,55,55,38,-8,-8,FAT,SFO,158,7,10,0,,0,0,0,0,0,0
2007,12,3,1,843,840,1059,1026,US,1773,N722US,136,106,96,33,3,DTW,CLT,500,8,32,0,,0,3,0,30,0,0
2007,5,31,4,1016,1015,1105,1059,MQ,4150,N627AE,109,104,78,6,1,TYS,ORD,475,23,8,0,,0,0,0,0,0,0
2007,12,25,2,1936,1940,2120,2146,DL,940,N912DL,104,126,86,-26,-4,CVG,LGA,585,5,13,0,,0,0,0,0,0,0
2007,8,31,5,655,705,655,700,MQ,4152,N650AE,60,55,30,-5,-10,GRR,ORD,137,7,23,0,,0,0,0,0,0,0
2007,5,5,6,1759,1745,2020,2025,WN,90,N490WN,141,160,129,-5,14,MDW,HOU,937,4,8,0,,0,0,0,0,0,0
2007,5,29,2,1759,1750,1953,2000,WN,333,N414WN,114,130,103,-7,9,PDX,LAS,762,4,7,0,,0,0,0,0,0,0
2007,2,4,7,2143,2130,7,2359,DL,1029,N648DL,324,329,297,8,13,ATL,SFO,2139,6,21,0,,0,0,0,0,0,0
2007,1,29,1,1612,1500,1705,1555,OO,3734,N299SW,53,55,40,70,72,SLC,TWF,175,2,11,0,,0,0,0,0,0,70
2007,3,12,1,1842,1817,2032,2013,US,412,N913AW,110,116,92,19,25,SFO,PHX,651,4,14,0,,0,0,0,0,0,19
2007,8,11,6,924,930,1004,1015,MQ,4377,N819AE,40,45,28,-11,-6,PIA,ORD,130,5,7,0,,0,0,0,0,0,0
2007,7,29,7,1846,1540,2136,1850,MQ,4444,N522AE,110,130,86,166,186,ORD,ATL,606,10,14,0,,0,102,0,0,0,64
2007,7,22,7,816,820,956,1015,MQ,4253,N695AE,100,115,79,-19,-4,ORD,ICT,588,4,17,0,,0,0,0,0,0,0
2007,4,29,7,924,929,1101,1115,EV,4468,N838AS,97,106,62,-14,-5,ATL,FWA,508,13,22,0,,0,0,0,0,0,0
2007,2,20,2,712,715,836,858,9E,4792,87189E,84,103,67,-22,-3,IND,DCA,499,6,11,0,,0,0,0,0,0,0
2007,8,30,4,1123,1000,1323,1215,EV,4663,N836AS,120,135,105,68,83,BUF,ATL,712,7,8,0,,0,68,0,0,0,0
2007,6,8,5,1743,1738,2052,2054,OO,1990,N807SK,129,136,102,-2,5,DFW,CVG,812,9,18,0,,0,0,0,0,0,0
2007,11,24,6,1248,1256,1532,1525,OO,6172,N939SW,104,89,77,7,-8,DEN,FSD,483,5,22,0,,0,0,0,0,0,0
2007,4,10,2,1418,1400,1658,1637,US,718,N920UW,160,157,138,21,18,FLL,PHL,992,2,20,0,,0,6,0,3,0,12
2007,4,3,2,800,800,1311,1310,WN,1044,N700GS,191,190,172,1,0,PHX,MDW,1444,7,12,0,,0,0,0,0,0,0
2007,1,11,4,651,655,657,705,MQ,4120,N670AE,66,70,45,-8,-4,TVC,ORD,224,10,11,0,,0,0,0,0,0,0
2007,11,15,4,1119,1120,1230,1240,9E,5760,80339E,71,80,54,-10,-1,TUL,MEM,342,6,11,0,,0,0,0,0,0,0
2007,2,15,4,1458,1345,1802,1700,XE,2183,N27152,124,135,107,62,73,COS,IAH,809,8,9,0,,0,0,4,0,0,58
2007,2,7,3,1852,1855,2003,2015,MQ,3724,N935AE,71,80,60,-12,-3,CRP,DFW,354,4,7,0,,0,0,0,0,0,0
2007,6,22,5,1910,1905,2148,2153,OO,4042,N803SK,98,108,76,-5,5,LAX,SLC,590,10,12,0,,0,0,0,0,0,0
2007,5,9,3,1515,1515,1614,1615,WN,44,N638SW,59,60,49,-1,0,HRL,HOU,276,3,7,0,,0,0,0,0,0,0
2007,2,26,1,1224,1231,1447,1438,XE,2391,N11181,143,127,101,9,-7,MCI,IAH,643,36,6,0,,0,0,0,0,0,0
2007,7,10,2,2100,2105,2124,2127,9E,2989,89249E,84,82,56,-3,-5,DTW,EVV,364,10,18,0,,0,0,0,0,0,0
2007,1,1,1,1102,1107,1150,1152,YV,2748,N37228,108,105,80,-2,-5,PHX,SBP,509,1,27,0,,0,0,0,0,0,0
2007,9,4,2,1218,1223,1429,1453,UA,475,N808UA,311,330,282,-24,-5,IAD,SEA,2306,4,25,0,,0,0,0,0,0,0
2007,10,15,1,842,845,1151,1150,B6,439,N503JB,189,185,148,1,-3,BOS,MCO,1121,12,29,0,,0,0,0,0,0,0
2007,5,15,2,1457,1350,2018,1910,WN,1110,N475WN,201,200,187,68,67,PHX,MDW,1444,3,11,0,,0,0,0,68,0,0
2007,8,29,3,935,930,1150,1155,WN,211,N216WR,135,145,121,-5,5,BWI,PBI,883,4,10,0,,0,0,0,0,0,0
2007,12,22,6,600,600,658,701,EV,4828,N981EV,58,61,39,-3,0,CAE,ATL,191,10,9,0,,0,0,0,0,0,0
2007,9,10,1,703,600,941,849,EV,4678,N870AS,98,109,80,52,63,PIA,ATL,564,8,10,0,,0,52,0,0,0,0
2007,11,8,4,1518,1515,1600,1600,XE,526,N19554,102,105,79,0,3,RDU,BHM,481,7,16,0,,0,0,0,0,0,0
2007,12,29,6,1745,1750,1836,1845,WN,3091,N618WN,51,55,35,-9,-5,AUS,DAL,189,6,10,0,,0,0,0,0,0,0
2007,9,6,4,1737,1740,1749,1758,9E,5769,89469E,72,78,57,-9,-3,SDF,MEM,320,5,10,0,,0,0,0,0,0,0
2007,2,9,5,1638,1600,1829,1747,EV,4360,N904EV,111,107,77,42,38,ATL,CAK,528,6,28,0,,0,0,0,4,0,38
2007,12,30,7,1014,1023,1601,1615,NW,264,N513US,227,232,197,-14,-9,PHX,DTW,1671,6,24,0,,0,0,0,0,0,0
2007,2,5,1,2027,1920,2249,2132,NW,1252,N8944E,82,72,49,77,67,ORD,DTW,235,14,19,0,,0,32,0,10,0,35
2007,4,25,3,1433,1245,1548,1412,US,395,N655AW,75,87,60,96,108,SFO,LAS,414,4,11,0,,0,27,0,0,0,69
2007,8,16,4,726,730,829,841,US,1833,N763US,63,71,48,-12,-4,PIT,PHL,267,3,12,0,,0,0,0,0,0,0
2007,7,23,1,1547,1549,1835,1851,UA,446,N381UA,108,122,86,-16,-2,ORD,CLT,599,4,18,0,,0,0,0,0,0,0
2007,9,11,2,1120,1125,1137,1150,WN,171,N613SW,77,85,62,-13,-5,BOI,SEA,399,4,11,0,,0,0,0,0,0,0
2007,12,28,5,817,810,932,930,WN,502,N338SW,75,80,64,2,7,ELP,PHX,347,3,8,0,,0,0,0,0,0,0
2007,1,5,5,1333,1240,1621,1543,EV,4805,N977EV,108,123,88,38,53,TUL,ATL,674,8,12,0,,0,0,0,38,0,0
2007,3,20,2,1930,1827,2102,2010,OH,5157,N812CA,92,103,77,52,63,ROC,CVG,461,3,12,0,,0,0,0,0,0,52
2007,7,31,2,2014,1645,2150,1835,MQ,3435,N642AE,96,110,82,195,209,DFW,PNS,604,3,11,0,,0,0,36,0,0,159
2007,2,26,1,559,600,743,724,UA,667,N539UA,164,144,116,19,-1,LGA,ORD,733,7,41,0,,0,0,0,19,0,0
2007,3,5,1,1829,1830,2050,2027,FL,520,N925AT,141,117,90,23,-1,MIA,ATL,595,38,13,0,,0,0,0,23,0,0
2007,7,27,5,1020,1017,1139,1145,NW,228,N551NW,79,88,58,-6,3,DTW,DCA,405,3,18,0,,0,0,0,0,0,0
2007,9,17,1,1259,1300,2108,2120,HA,2,N591HA,489,500,464,-12,-1,HNL,LAX,2556,10,15,0,,0,0,0,0,0,0
2007,4,3,2,1535,1530,,1838,OH,5012,N781CA,,128,,,5,OKC,CVG,756,0,18,0,,1,0,0,0,0,0
2007,7,22,7,1622,1615,1716,1735,DL,905,N635DL,234,260,212,-19,7,ATL,LAS,1747,5,17,0,,0,0,0,0,0,0
2007,1,23,2,1155,1200,1257,1310,US,2127,N768UW,62,70,41,-13,-5,BOS,LGA,185,5,16,0,,0,0,0,0,0,0
2007,3,26,1,1336,1340,1547,1605,NW,206,N8945E,71,85,52,-18,-4,MEM,ATL,332,9,10,0,,0,0,0,0,0,0
2007,11,16,5,1923,1925,2140,2143,OO,6058,N935SW,77,78,51,-3,-2,ORD,LEX,323,3,23,0,,0,0,0,0,0,0
2007,10,11,4,1628,1535,1756,1719,US,1559,N109UW,88,104,70,37,53,BOS,PIT,496,3,15,0,,0,9,0,0,0,28
2007,12,28,5,1415,1409,1643,1634,OO,6498,N978SW,88,85,58,9,6,LAX,TUS,451,6,24,0,,0,0,0,0,0,0
2007,4,18,3,812,815,943,958,FL,980,N966AT,91,103,72,-15,-3,ATL,PIT,526,6,13,0,,0,0,0,0,0,0
2007,1,19,5,2153,2200,2253,2250,MQ,4580,N716AE,60,50,35,3,-7,BOS,BGR,201,3,22,0,,0,0,0,0,0,0
2007,3,16,5,1425,1430,1456,1516,US,409,N834AW,151,166,136,-20,-5,OMA,PHX,1037,4,11,0,,0,0,0,0,0,0
2007,7,27,5,1926,1911,2035,2029,EV,4831,N825AS,69,78,48,6,15,GSO,ATL,306,12,9,0,,0,0,0,0,0,0
2007,6,6,3,707,705,825,830,WN,1978,N319SW,78,85,60,-5,2,OAK,LAS,407,4,14,0,,0,0,0,0,0,0
2007,11,26,1,757,800,926,933,FL,177,N965AT,89,93,77,-7,-3,ATL,RSW,515,4,8,0,,0,0,0,0,0,0
2007,9,27,4,1858,1810,2114,2032,EV,4330,N719EV,76,82,53,42,48,GPT,ATL,352,16,7,0,,0,0,0,42,0,0
2007,1,9,2,1956,1920,2039,2005,OO,4073,N611SK,103,105,75,34,36,SLC,GEG,546,4,24,0,,0,34,0,0,0,0
2007,7,11,3,1153,1145,1323,1312,XE,3093,N10156,90,87,69,11,8,CLE,ORF,435,4,17,0,,0,0,0,0,0,0
2007,9,7,5,1931,1936,2141,2156,FL,410,N963AT,130,140,111,-15,-5,MCO,IND,828,9,10,0,,0,0,0,0,0,0
2007,12,13,4,1413,1410,1527,1540,AA,321,N537AA,74,90,63,-13,3,ORD,MSP,334,3,8,0,,0,0,0,0,0,0
2007,11,2,5,859,900,956,1002,XE,2605,N17928,57,62,45,-6,-1,IAH,DAL,217,4,8,0,,0,0,0,0,0,0
2007,7,8,7,1751,1750,2027,1955,NW,524,N342NB,216,185,187,32,1,JAX,MSP,1174,14,15,0,,0,0,0,32,0,0
2007,10,4,4,1147,1125,1250,1224,EV,4290,N903EV,63,59,49,26,22,TRI,ATL,227,10,4,0,,0,7,15,4,0,0
2007,9,8,6,1018,1020,1151,1155,AA,1761,N405AA,153,155,133,-4,-2,BOS,ORD,867,8,12,0,,0,0,0,0,0,0
2007,7,11,3,610,610,843,850,B6,63,N644JB,153,160,132,-7,0,JFK,TPA,1005,5,16,0,,0,0,0,0,0,0
2007,7,7,6,823,755,908,854,EV,4662,N829AS,45,59,29,14,28,ATL,GSP,153,2,14,0,,0,0,0,0,0,0
2007,11,17,6,1108,1120,1139,1204,AS,65,N769AS,31,44,23,-25,-12,PSG,JNU,123,3,5,0,,0,0,0,0,0,0
2007,2,10,6,1310,1315,1625,1630,MQ,3767,N902BC,135,135,108,-5,-5,DFW,GSP,862,4,23,0,,0,0,0,0,0,0
2007,2,8,4,817,825,1126,1130,AA,1322,N3BNAA,189,185,168,-4,-8,MIA,DTW,1145,8,13,0,,0,0,0,0,0,0
2007,4,29,7,850,855,1019,1035,XE,2103,N15941,89,100,69,-16,-5,TUL,IAH,429,7,13,0,,0,0,0,0,0,0
2007,1,21,7,1829,1840,1942,1956,AS,45,N705AS,73,76,61,-14,-11,ANC,BET,399,3,9,0,,0,0,0,0,0,0
2007,1,26,5,656,705,837,908,AS,535,N612AS,161,183,142,-31,-9,DEN,SEA,1024,4,15,0,,0,0,0,0,0,0
2007,11,6,2,949,910,1107,1035,MQ,3156,N807AE,78,85,64,32,39,SJC,SAN,417,6,8,0,,0,8,0,0,0,24
2007,5,4,5,1134,1135,1243,1250,WN,299,N771SA,249,255,230,-7,-1,CMH,PHX,1671,6,13,0,,0,0,0,0,0,0
2007,11,16,5,1643,1615,1743,1725,AA,1259,N465AA,60,70,43,18,28,DFW,XNA,281,4,13,0,,0,18,0,0,0,0
2007,5,8,2,1126,1130,1258,1250,9E,5950,84589E,92,80,71,8,-4,MOB,MEM,317,10,11,0,,0,0,0,0,0,0
2007,4,27,5,757,805,922,915,MQ,4174,N619AE,85,70,52,7,-8,DSM,ORD,299,11,22,0,,0,0,0,0,0,0
2007,8,3,5,1718,1728,1936,1831,YV,7062,N454YV,138,63,45,65,-10,DEN,GUC,152,2,91,0,,0,0,0,65,0,0
2007,8,28,2,850,855,1045,1040,MQ,4870,N813AE,115,105,78,5,-5,CMH,LGA,478,21,16,0,,0,0,0,0,0,0
2007,12,18,2,902,900,1027,1030,WN,350,N347SW,85,90,73,-3,2,SMF,PDX,479,4,8,0,,0,0,0,0,0,0
2007,8,22,3,1557,1600,1632,1645,WN,1545,N271LV,155,165,141,-13,-3,MCI,PHX,1044,6,8,0,,0,0,0,0,0,0
2007,9,25,2,911,915,1113,1130,AA,2332,N494AA,122,135,103,-17,-4,DFW,ORD,802,5,14,0,,0,0,0,0,0,0
2007,8,12,7,1515,1520,1735,1740,EV,4613,N909EV,140,140,118,-5,-5,SYR,ATL,793,10,12,0,,0,0,0,0,0,0
2007,3,23,5,1313,1320,1606,1613,NW,1029,N342NB,233,233,205,-7,-7,FLL,MSP,1487,10,18,0,,0,0,0,0,0,0
2007,9,28,5,1711,1705,1820,1820,OO,3731,N581SW,69,75,54,0,6,SGU,SLC,269,3,12,0,,0,0,0,0,0,0
2007,4,19,4,829,830,1042,1042,DL,1208,N656DL,133,132,102,0,-1,ATL,EWR,745,8,23,0,,0,0,0,0,0,0
2007,3,23,5,1451,1450,1622,1620,AA,2511,N475AA,91,90,70,2,1,MCI,DAL,461,4,17,0,,0,0,0,0,0,0
2007,2,2,5,818,750,1036,1020,AA,1368,N5TTAA,138,150,121,16,28,MCO,LGA,950,6,11,0,,0,16,0,0,0,0
2007,6,26,2,1457,1450,1700,1642,XE,2045,N12135,183,172,136,18,7,RDU,IAH,1043,32,15,0,,0,0,0,11,0,7
2007,11,30,5,1937,1857,2203,2125,UA,414,N398UA,86,88,66,38,40,DEN,OKC,495,5,15,0,,0,0,0,1,0,37
2007,4,4,3,655,655,747,735,EV,4726,N637AS,52,40,33,12,0,CSG,ATL,83,9,10,0,,0,0,0,0,0,0
2007,5,5,6,936,940,1045,1041,NW,1160,N967N,69,61,38,4,-4,MEM,BNA,200,8,23,0,,0,0,0,0,0,0
2007,4,1,7,1300,1310,1510,1513,YV,7276,N47239,70,63,39,-3,-10,ORD,MBS,222,5,26,0,,0,0,0,0,0,0
2007,8,14,2,1214,1224,1327,1341,OO,6390,N756SK,73,77,58,-14,-10,SNA,SFO,372,5,10,0,,0,0,0,0,0,0
2007,2,24,6,1032,1039,1135,1147,FL,317,N924AT,63,68,41,-12,-7,CLT,ATL,227,13,9,0,,0,0,0,0,0,0
2007,6,27,3,1024,1024,1130,1141,EV,4164,N839AS,126,137,100,-11,0,ATL,ATW,765,3,23,0,,0,0,0,0,0,0
2007,10,19,5,2007,1835,2242,2105,AA,83,N362AA,275,270,255,97,92,ORD,SFO,1846,5,15,0,,0,92,0,5,0,0
2007,2,16,5,1938,1920,2017,2010,OO,6070,N233SW,39,50,26,7,18,SAN,LAX,109,1,12,0,,0,0,0,0,0,0
2007,10,20,6,639,635,732,726,EV,4483,N829AS,113,111,95,6,4,DCA,HSV,613,4,14,0,,0,0,0,0,0,0
2007,6,27,3,1226,1130,1444,1345,WN,1471,N210WN,78,75,55,59,56,SEA,BOI,399,4,19,0,,0,8,0,3,0,48
2007,8,12,7,1820,1820,1935,1935,WN,1216,N491WN,135,135,121,0,0,BDL,MDW,777,3,11,0,,0,0,0,0,0,0
2007,1,3,3,943,945,1136,1145,MQ,4027,N853AE,53,60,38,-9,-2,ORD,FNT,223,3,12,0,,0,0,0,0,0,0
2007,7,30,1,1349,1349,1554,1546,YV,2758,N77286,125,117,109,8,0,SFO,PHX,651,6,10,0,,0,0,0,0,0,0
2007,3,9,5,1200,1200,1515,1525,AA,630,N419AA,135,145,119,-10,0,DFW,MCO,984,5,11,0,,0,0,0,0,0,0
2007,9,27,4,945,950,1139,1135,AA,490,N4WYAA,114,105,77,4,-5,STL,DFW,551,26,11,0,,0,0,0,0,0,0
2007,5,24,4,1358,1329,1445,1359,OO,5525,N943SW,107,90,84,46,29,SDF,ORD,286,9,14,0,,0,0,0,0,0,46
2007,7,30,1,1932,1932,2102,2059,NW,226,N336NB,90,87,63,3,0,DTW,DCA,405,6,21,0,,0,0,0,0,0,0
2007,8,16,4,1239,1235,1517,1447,UA,221,N804UA,338,312,303,30,4,IAD,SAN,2253,3,32,0,,0,0,0,30,0,0
2007,3,8,4,1142,1145,1719,1735,AA,1436,N571AA,217,230,197,-16,-3,SEA,DFW,1660,9,11,0,,0,0,0,0,0,0
2007,2,28,3,2020,2010,2133,2110,US,1740,N592US,73,60,31,23,10,PHL,DCA,119,7,35,0,,0,0,0,13,0,10
2007,9,11,2,939,940,1033,1040,AA,1257,N416AA,174,180,154,-7,-1,DFW,PSP,1126,5,15,0,,0,0,0,0,0,0
2007,3,5,1,1312,1300,1416,1408,US,2175,N758US,64,68,47,8,12,LGA,DCA,214,2,15,0,,0,0,0,0,0,0
2007,12,11,2,1122,1120,1335,1309,OO,6765,N443SW,133,109,74,26,2,DEN,BZN,525,4,55,0,,0,26,0,0,0,0
2007,11,6,2,757,753,911,900,XE,2858,N14516,74,67,59,11,4,LRD,IAH,301,7,8,0,,0,0,0,0,0,0
2007,4,26,4,637,600,934,853,DL,661,N3760C,177,173,150,41,37,BOS,ATL,946,12,15,0,,0,37,0,4,0,0
2007,12,20,4,940,830,1119,1026,US,925,N757UW,159,176,142,53,70,DCA,MSY,969,3,14,0,,0,5,0,0,0,48
2007,2,14,3,1531,1430,1822,1735,CO,320,N69311,111,125,83,47,61,IAH,ATL,689,8,20,0,,0,47,0,0,0,0
2007,4,28,6,2150,2155,510,511,NW,338,N591NW,260,256,242,-1,-5,LAX,DTW,1979,5,13,0,,0,0,0,0,0,0
2007,10,11,4,828,833,1409,1410,DL,874,N836MH,221,217,191,-1,-5,SLC,ATL,1589,11,19,0,,0,0,0,0,0,0
2007,9,20,4,902,855,1244,1225,UA,9,N555UA,402,390,333,19,7,JFK,SFO,2586,3,66,0,,0,7,0,12,0,0
2007,4,3,2,626,625,833,845,WN,1865,N612SW,127,140,110,-12,1,BWI,MCO,787,5,12,0,,0,0,0,0,0,0
2007,4,14,6,1542,1453,1707,1610,UA,1185,N825UA,145,137,129,57,49,DEN,SAN,853,3,13,0,,0,49,0,8,0,0
2007,5,19,6,756,730,1338,1251,US,1,N629AW,222,201,192,47,26,PHX,ORD,1440,7,23,0,,0,26,0,21,0,0
2007,10,21,7,2224,2228,2308,2312,NW,237,N354NB,44,44,27,-4,-4,MSP,DLH,144,5,12,0,,0,0,0,0,0,0
2007,10,17,3,1705,1710,1820,1815,MQ,4092,N928AE,75,65,44,5,-5,ORD,EVV,273,3,28,0,,0,0,0,0,0,0
2007,1,8,1,1613,1612,1815,1820,NW,1567,N326NB,182,188,161,-5,1,EWR,MEM,946,8,13,0,,0,0,0,0,0,0
2007,6,1,5,619,600,840,820,UA,101,N815UA,261,260,234,20,19,ORD,LAX,1745,10,17,0,,0,19,0,1,0,0
2007,6,1,5,1618,1620,1814,1818,NW,1695,N378NW,116,118,82,-4,-2,RDU,DTW,501,8,26,0,,0,0,0,0,0,0
2007,10,1,1,645,645,810,820,MQ,3172,N810AE,85,95,61,-10,0,SNA,SJC,342,5,19,0,,0,0,0,0,0,0
2007,8,20,1,1538,1510,1728,1705,MQ,3806,N905JH,110,115,94,23,28,EVV,DFW,642,11,5,0,,0,0,0,0,0,23
2007,5,14,1,1340,1350,1506,1511,AS,346,N756AS,86,81,66,-5,-10,OAK,SNA,371,6,14,0,,0,0,0,0,0,0
2007,8,11,6,1852,1850,2010,2015,WN,297,N687SW,138,145,125,-5,2,ABQ,OAK,889,6,7,0,,0,0,0,0,0,0
2007,11,3,6,1325,1330,1458,1515,XE,2824,N15980,93,105,76,-17,-5,IAH,BHM,562,3,14,0,,0,0,0,0,0,0
2007,8,27,1,1503,1500,1636,1640,WN,49,N526SW,93,100,78,-4,3,MDW,LIT,544,3,12,0,,0,0,0,0,0,0
2007,11,29,4,1259,1300,1614,1640,9E,5610,86889E,135,160,106,-26,-1,MSP,ALB,979,9,20,0,,0,0,0,0,0,0
2007,2,1,4,1000,941,1131,1105,OO,5889,N773SK,151,144,136,26,19,ORF,ORD,717,7,8,0,,0,26,0,0,0,0
2007,9,22,6,1427,1430,1517,1525,WN,2584,N284WN,110,115,93,-8,-3,DEN,LAS,629,5,12,0,,0,0,0,0,0,0
2007,9,5,3,756,800,855,855,MQ,4309,N696AE,59,55,32,0,-4,ORD,CID,196,8,19,0,,0,0,0,0,0,0
2007,3,25,7,2055,2055,2220,2225,WN,1048,N718SW,85,90,72,-5,0,SAN,SMF,480,3,10,0,,0,0,0,0,0,0
2007,10,25,4,1624,1600,1859,1841,DL,521,N680DA,155,161,113,18,24,LGA,ATL,761,13,29,0,,0,13,0,0,0,5
2007,6,19,2,658,700,1041,1040,WN,1809,N401WN,163,160,131,1,-2,MCI,MCO,1072,20,12,0,,0,0,0,0,0,0
2007,3,4,7,939,945,1330,1345,HA,15,N580HA,231,240,210,-15,-6,SAN,HNL,2614,4,17,0,,0,0,0,0,0,0
